term,id,name,docket_number,date_decided,date_argued,date_granted,majority_votes,decision_type,minority_votes,winning_party,vote_Neil_Gorsuch,vote_Ketanji_Brown_Jackson,"vote_John_G._Roberts,_Jr.",vote_Brett_M._Kavanaugh,vote_Elena_Kagan,vote_Sonia_Sotomayor,vote_Clarence_Thomas,vote_Amy_Coney_Barrett,"vote_Samuel_A._Alito,_Jr.",opinion_Amy_Coney_Barrett,opinion_Neil_Gorsuch,"opinion_John_G._Roberts,_Jr.",opinion_Sonia_Sotomayor,"opinion_Samuel_A._Alito,_Jr.",opinion_Clarence_Thomas,opinion_Elena_Kagan,opinion_Ketanji_Brown_Jackson,opinion_Brett_M._Kavanaugh,justia_url,description,question
2022,63525,Arizona v. Navajo Nation,21-1484,2023-06-22T13:00:00,2023-03-20T13:00:00,2022-11-04T13:00:00,5,majority opinion,4,Arizona,minority,minority,majority,majority,minority,minority,majority,majority,majority,none,dissent,none,none,none,concurrence,none,none,majority,,A case in which the Court held that the 1868 treaty establishing the Navajo Reservation reserved necessary water to accomplish the purpose of the Navajo Reservation but did not require the United States to take affirmative steps to secure water for the Tribe.,"<p>Does the 1868 Treaty between the Navajo Nation and the United States impose an affirmative duty on the United States to secure water for the tribe?</p>
"
2022,63526,Department of the Interior v. Navajo Nation,22-51,2023-06-22T13:00:00,2023-03-20T13:00:00,2022-11-04T13:00:00,5,majority opinion,4,Department of the Interior,minority,minority,majority,majority,minority,minority,majority,majority,majority,none,dissent,none,none,none,concurrence,none,none,majority,,A case in which the Court held that the 1868 treaty establishing the Navajo Reservation reserved necessary water to accomplish the purpose of the Navajo Reservation but did not require the United States to take affirmative steps to secure water for the Tribe.,"<p>Does the U.S. Supreme Court retain exclusive jurisdiction over the allocation of waters of the Colorado River?</p>
"
2022,63529,Dubin v. United States,22-10,2023-06-08T13:00:00,2023-02-27T14:00:00,2022-11-10T14:00:00,9,majority opinion,0,Dubin,majority,majority,majority,majority,majority,majority,majority,majority,majority,none,special concurrence,none,majority,none,none,none,none,none,https://supreme.justia.com/cases/federal/us/599/22-10/,"A case in which the Court held that a person commits “aggravated identity theft,” if he “uses” another person’s means of identification “in relation to” a predicate offense when the use is at the crux of—rather than merely peripheral to—what makes the conduct criminal.","<p>Does a person commit aggravated identity theft any time they mention or otherwise recite someone else’s name while committing a predicate offense?</p>
"
2022,63530,Jack Daniel's Properties v. VIP Products LLC,22-148,2023-06-08T13:00:00,2023-03-22T13:00:00,2022-11-21T14:00:00,9,majority opinion,0,Jack Daniel's,majority,majority,majority,majority,majority,majority,majority,majority,majority,none,concurrence,none,concurrence,none,none,majority,none,none,https://supreme.justia.com/cases/federal/us/599/22-148/,A case in which the Court held that humorous use of another’s trademark as one’s own on a commercial product is subject to the Lanham Act’s likelihood-of-confusion analysis.,"<p>Is humorous use of another’s trademark as one’s own on a commercial product subject to the Lanham Act’s likelihood-of-confusion analysis, or instead entitled to heightened First Amendment protection?</p>
"
2022,63532,Biden v. Nebraska,22-506,2023-06-30T13:00:00,2023-02-28T14:00:00,2022-12-01T14:00:00,6,majority opinion,3,Nebraska,majority,minority,majority,majority,minority,minority,majority,majority,majority,concurrence,none,majority,none,none,none,dissent,none,none,https://supreme.justia.com/cases/federal/us/600/22-506/,A case in which the Court held that the Secretary of Education does not have the authority under the HEROES Act to cancel roughly $430 billion in student debt.,"<p>1. Do Nebraska and other states have judicial standing to challenge the student-debt relief program?</p>
<p>2. Does the student-debt relief program exceed the statutory authority of the U.S. Secretary of Education, or does it violate the Administrative Procedure Act?</p>
"
2022,63533,United States v. Hansen,22-179,2023-06-23T13:00:00,2023-03-27T13:00:00,2022-12-09T14:00:00,7,majority opinion,2,United States,majority,minority,majority,majority,majority,minority,majority,majority,majority,majority,none,none,none,none,concurrence,none,dissent,none,https://supreme.justia.com/cases/federal/us/599/22-179/,A case in which the Court held that 8 U.S.C. § 1324(a)(1)(A)(iv) and (B)(i)’s prohibition against encouraging or inducing unlawful immigration for commercial advantage or private financial gain forbids only the purposeful solicitation and facilitation of specific acts known to violate federal law and is not unconstitutionally overbroad.,"<p>Does the federal prohibition on encouraging or inducing unlawful immigration for commercial advantage or private financial gain violate the First Amendment of the U.S. Constitution?</p>
"
2022,63534,Samia v. United States,22-196,2023-06-23T13:00:00,2023-03-29T13:00:00,2022-12-13T14:00:00,6,majority opinion,3,United States,majority,minority,majority,majority,minority,minority,majority,majority,majority,concurrence,none,none,none,none,majority,dissent,none,none,https://supreme.justia.com/cases/federal/us/599/22-196/,A case in which the Court held that admitting a codefendant’s redacted out-of-court confession that immediately inculpates a defendant based on context does not violate the Confrontation Clause of the Sixth Amendment.,"<p>Does admitting a codefendant’s redacted out-of-court confession that immediately inculpates a defendant based on context violate the Confrontation Clause of the Sixth Amendment?</p>
"
2022,63535,Slack Technologies v. Pirani,22-200,2023-06-01T13:00:00,2023-04-17T13:00:00,2022-12-13T14:00:00,9,majority opinion,0,Slack Technologies,majority,majority,majority,majority,majority,majority,majority,majority,majority,none,majority,none,none,none,none,none,none,none,https://supreme.justia.com/cases/federal/us/598/22-200/,A case in which the Court held that Sections 11 and 12(a)(2) of the Securities Act of 1933 require plaintiffs to plead and prove that they bought shares registered under the registration statement they claim is misleading.,"<p>Do Sections 11 and 12(a)(2) of the Securities Act of 1933 require plaintiffs to plead and prove that they bought shares registered under the registration statement they claim is misleading?</p>
"
2022,63536,Smith v. United States,21-1576,2023-06-15T13:00:00,2023-03-28T13:00:00,2022-12-13T14:00:00,9,majority opinion,0,United States,majority,majority,majority,majority,majority,majority,majority,majority,majority,none,none,none,none,majority,none,none,none,none,https://supreme.justia.com/cases/federal/us/599/21-1576/,A case in which the Court held that the Constitution permits the retrial of a defendant following a trial in an improper venue conducted before a jury drawn from the wrong district.,"<p>Does a criminal trial’s improper venue as to one count require vacatur of the convictions for other counts?</p>
"
2022,63537,Coinbase v. Bielski,22-105,2023-06-23T13:00:00,2023-03-21T13:00:00,2022-12-09T14:00:00,5,majority opinion,4,Coinbase,majority,minority,majority,majority,minority,minority,minority,majority,majority,none,none,none,none,none,none,none,dissent,majority,https://supreme.justia.com/cases/federal/us/599/22-105/,A case in which the Court held that a non-frivolous appeal of the denial of a motion to compel arbitration requires the district court to stay its proceedings while the interlocutory appeal on the question of arbitrability is pending.,"<p>Does a non-frivolous appeal of the denial of a motion to compel arbitration oust a district court’s jurisdiction to proceed with litigation pending appeal?</p>
"
