county_name,median_income,population,bachelors_degree,labor_force,median_rent,commute_time,owner_occupied,renter_occupied,state_fips,county_fips
"Boyle County, Kentucky",56568.0,30613.0,3121.0,1840.0,762.0,11271.0,8020.0,3629.0,21,021
"Bracken County, Kentucky",59911.0,8420.0,647.0,456.0,744.0,3361.0,2526.0,612.0,21,023
"Breathitt County, Kentucky",38209.0,13580.0,803.0,446.0,501.0,4378.0,4031.0,1498.0,21,025
"Breckinridge County, Kentucky",51756.0,20528.0,1161.0,1101.0,697.0,7446.0,6215.0,1327.0,21,027
"Bullitt County, Kentucky",73900.0,82482.0,6606.0,4398.0,947.0,37504.0,25665.0,5403.0,21,029
"Butler County, Kentucky",47589.0,12365.0,468.0,697.0,650.0,4473.0,3248.0,1253.0,21,031
"Caldwell County, Kentucky",52488.0,12635.0,794.0,649.0,706.0,5046.0,3749.0,1379.0,21,033
"Calloway County, Kentucky",48276.0,37345.0,4109.0,3438.0,770.0,16371.0,9539.0,5266.0,21,035
"Campbell County, Kentucky",71979.0,93122.0,15843.0,4530.0,979.0,40929.0,27670.0,11014.0,21,037
"Carlisle County, Kentucky",53065.0,4782.0,286.0,213.0,764.0,1691.0,1458.0,447.0,21,039
"Carroll County, Kentucky",50625.0,10842.0,214.0,433.0,806.0,4303.0,2744.0,1295.0,21,041
"Carter County, Kentucky",47004.0,26671.0,1543.0,1505.0,708.0,8529.0,7769.0,2009.0,21,043
"Casey County, Kentucky",42190.0,15942.0,711.0,846.0,618.0,4995.0,4568.0,1461.0,21,045
"Christian County, Kentucky",48920.0,72766.0,5406.0,4169.0,984.0,28997.0,12771.0,12831.0,21,047
"Clark County, Kentucky",61878.0,36897.0,3290.0,1591.0,858.0,15338.0,10565.0,4197.0,21,049
"Clay County, Kentucky",37888.0,20322.0,1060.0,824.0,642.0,5687.0,5314.0,1796.0,21,051
"Clinton County, Kentucky",41180.0,9295.0,541.0,495.0,605.0,3465.0,2674.0,998.0,21,053
"Crittenden County, Kentucky",45810.0,8979.0,472.0,352.0,670.0,3216.0,2810.0,685.0,21,055
"Cumberland County, Kentucky",40515.0,5974.0,503.0,201.0,516.0,2116.0,1909.0,610.0,21,057
"Daviess County, Kentucky",64021.0,102916.0,10844.0,4902.0,890.0,44451.0,27646.0,13076.0,21,059
"Edmonson County, Kentucky",53029.0,12179.0,476.0,510.0,672.0,4286.0,3960.0,800.0,21,061
"Elliott County, Kentucky",39469.0,7378.0,387.0,230.0,625.0,1679.0,1735.0,528.0,21,063
"Estill County, Kentucky",39980.0,14138.0,779.0,546.0,665.0,4345.0,4239.0,1501.0,21,065
"Fayette County, Kentucky",66087.0,321276.0,54431.0,19165.0,1065.0,149513.0,73941.0,62163.0,21,067
"Fleming County, Kentucky",46885.0,15111.0,998.0,778.0,684.0,5451.0,4279.0,1468.0,21,069
"Floyd County, Kentucky",38723.0,35780.0,1906.0,1654.0,740.0,10626.0,10176.0,4106.0,21,071
"Franklin County, Kentucky",62929.0,51475.0,6670.0,2903.0,902.0,21553.0,14267.0,8286.0,21,073
